Дата_и_время,Цена
2024-05-20 04:00:00,1023.69
2024-05-20 05:00:00,1119.42
2024-05-20 06:00:00,1305.86
2024-05-20 07:00:00,1656.49
2024-05-20 08:00:00,1941.2
2024-05-20 09:00:00,2067.69
2024-05-20 10:00:00,2073.08
2024-05-20 11:00:00,2052.22
2024-05-20 12:00:00,2031.74
2024-05-20 13:00:00,2062.94
2024-05-20 14:00:00,2004.0
2024-05-20 15:00:00,1976.15
2024-05-20 16:00:00,1976.46
2024-05-20 17:00:00,2006.18
2024-05-20 18:00:00,1976.29
2024-05-20 19:00:00,1886.39
2024-05-20 20:00:00,1935.14
2024-05-20 21:00:00,1937.76
2024-05-20 22:00:00,1549.05
2024-05-20 23:00:00,1310.6
2024-05-21 00:00:00,1256.77
2024-05-21 01:00:00,1128.96
2024-05-21 02:00:00,1019.6
2024-05-21 03:00:00,937.23
2024-05-21 04:00:00,986.91
2024-05-21 05:00:00,1110.11
2024-05-21 06:00:00,1313.65
2024-05-21 07:00:00,1491.01
2024-05-21 08:00:00,1815.48
2024-05-21 09:00:00,1903.15
2024-05-21 10:00:00,1920.17
2024-05-21 11:00:00,1849.4
2024-05-21 12:00:00,1681.5
2024-05-21 13:00:00,1892.79
2024-05-21 14:00:00,1873.62
2024-05-21 15:00:00,1654.92
2024-05-21 16:00:00,1790.35
2024-05-21 17:00:00,1784.52
2024-05-21 18:00:00,1801.12
2024-05-21 19:00:00,1726.85
2024-05-21 20:00:00,1778.27
2024-05-21 21:00:00,1851.72
2024-05-21 22:00:00,1573.01
2024-05-21 23:00:00,1282.62
2024-05-22 00:00:00,1152.77
2024-05-22 01:00:00,984.87
2024-05-22 02:00:00,876.18
2024-05-22 03:00:00,836.26
2024-05-22 04:00:00,841.02
2024-05-22 05:00:00,990.47
2024-05-22 06:00:00,1248.94
2024-05-22 07:00:00,1467.6
2024-05-22 08:00:00,1746.45
2024-05-22 09:00:00,2051.76
2024-05-22 10:00:00,2055.66
2024-05-22 11:00:00,2059.89
2024-05-22 12:00:00,2053.61
2024-05-22 13:00:00,2076.47
2024-05-22 14:00:00,2062.1
2024-05-22 15:00:00,2040.42
2024-05-22 16:00:00,2008.77
2024-05-22 17:00:00,1925.29
2024-05-22 18:00:00,1791.78
2024-05-22 19:00:00,1712.29
2024-05-22 20:00:00,1744.5
2024-05-22 21:00:00,1797.0
2024-05-22 22:00:00,1500.95
2024-05-22 23:00:00,1249.41
2024-05-23 00:00:00,1267.27
2024-05-23 01:00:00,1106.36
2024-05-23 02:00:00,1027.13
2024-05-23 03:00:00,993.82
2024-05-23 04:00:00,914.98
2024-05-23 05:00:00,1057.96
2024-05-23 06:00:00,1464.81
2024-05-23 07:00:00,1505.64
2024-05-23 08:00:00,1846.8
2024-05-23 09:00:00,2047.49
2024-05-23 10:00:00,2057.52
2024-05-23 11:00:00,2071.0
2024-05-23 12:00:00,2067.57
2024-05-23 13:00:00,2106.33
2024-05-23 14:00:00,2100.68
2024-05-23 15:00:00,2099.0
2024-05-23 16:00:00,2077.38
2024-05-23 17:00:00,2044.16
2024-05-23 18:00:00,1949.67
2024-05-23 19:00:00,1788.73
2024-05-23 20:00:00,1756.25
2024-05-23 21:00:00,1895.14
2024-05-23 22:00:00,1564.38
2024-05-23 23:00:00,1505.63
2024-05-24 00:00:00,1376.91
2024-05-24 01:00:00,1142.06
2024-05-24 02:00:00,1057.59
2024-05-24 03:00:00,1010.58
2024-05-24 04:00:00,940.05
2024-05-24 05:00:00,1141.68
2024-05-24 06:00:00,1433.47
2024-05-24 07:00:00,1706.69
2024-05-24 08:00:00,2117.88
2024-05-24 09:00:00,2195.09
2024-05-24 10:00:00,2208.11
2024-05-24 11:00:00,2233.53
2024-05-24 12:00:00,2298.1
2024-05-24 13:00:00,2357.79
2024-05-24 14:00:00,2348.04
2024-05-24 15:00:00,2327.97
2024-05-24 16:00:00,2310.12
2024-05-24 17:00:00,2188.46
2024-05-24 18:00:00,2088.35
2024-05-24 19:00:00,2003.84
2024-05-24 20:00:00,1996.18
2024-05-24 21:00:00,2072.05
2024-05-24 22:00:00,2070.83
2024-05-24 23:00:00,1704.35
2024-05-25 00:00:00,1827.87
2024-05-25 01:00:00,1635.03
2024-05-25 02:00:00,1572.12
2024-05-25 03:00:00,1513.38
2024-05-25 04:00:00,1329.56
2024-05-25 05:00:00,1367.47
2024-05-25 06:00:00,1422.49
2024-05-25 07:00:00,1605.09
2024-05-25 08:00:00,2034.15
2024-05-25 09:00:00,2079.46
2024-05-25 10:00:00,2206.27
2024-05-25 11:00:00,2203.9
2024-05-25 12:00:00,2280.0
2024-05-25 13:00:00,2304.52
2024-05-25 14:00:00,2283.81
2024-05-25 15:00:00,2203.62
2024-05-25 16:00:00,2203.54
2024-05-25 17:00:00,2085.71
2024-05-25 18:00:00,2067.24
2024-05-25 19:00:00,2062.17
2024-05-25 20:00:00,2060.29
2024-05-25 21:00:00,2139.08
2024-05-25 22:00:00,2019.83
2024-05-25 23:00:00,1749.86
2024-05-26 00:00:00,1537.06
2024-05-26 01:00:00,1502.68
2024-05-26 02:00:00,1437.97
2024-05-26 03:00:00,1308.08
2024-05-26 04:00:00,1142.47
2024-05-26 05:00:00,1284.55
2024-05-26 06:00:00,1092.9
2024-05-26 07:00:00,1455.44
2024-05-26 08:00:00,1728.64
2024-05-26 09:00:00,2062.56
2024-05-26 10:00:00,2083.45
2024-05-26 11:00:00,2088.06
2024-05-26 12:00:00,2087.66
2024-05-26 13:00:00,2117.72
