Дата_и_Время,Цена_ЭЭ,sin_час,cos_час,День,Цена_EUR,Цена_USD,Цена_газ,Цена_нефть
2024-05-10 22:00:00,1512.53,-0.5000000000000004,0.8660254037844384,10,98.027609375,90.6461961722488,2.2924705882352936,83.86090909090909
2024-05-10 23:00:00,1306.89,-0.2588190451025215,0.965925826289068,10,98.027609375,90.6461961722488,2.2924705882352936,83.86090909090909
2024-05-11 00:00:00,1313.86,0.0,1.0,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 01:00:00,1179.25,0.2588190451025207,0.9659258262890684,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 02:00:00,1143.09,0.4999999999999999,0.8660254037844387,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 03:00:00,1130.64,0.7071067811865476,0.7071067811865476,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 04:00:00,1111.37,0.8660254037844386,0.5000000000000001,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 05:00:00,1111.36,0.9659258262890684,0.2588190451025207,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 06:00:00,1112.16,1.0,6.123233995736766e-17,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 07:00:00,1243.88,0.9659258262890684,-0.2588190451025206,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 08:00:00,1441.05,0.8660254037844387,-0.4999999999999998,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 09:00:00,1763.67,0.7071067811865476,-0.7071067811865475,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 10:00:00,1791.83,0.4999999999999999,-0.8660254037844387,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 11:00:00,1784.69,0.258819045102521,-0.9659258262890682,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 12:00:00,1755.27,1.2246467991473532e-16,-1.0,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 13:00:00,1755.54,-0.2588190451025208,-0.9659258262890684,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 14:00:00,1747.78,-0.4999999999999997,-0.8660254037844388,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 15:00:00,1751.05,-0.7071067811865471,-0.7071067811865479,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 16:00:00,1731.47,-0.8660254037844385,-0.5000000000000004,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 17:00:00,1733.07,-0.9659258262890684,-0.2588190451025206,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 18:00:00,1753.59,-1.0,-1.8369701987210287e-16,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 19:00:00,1786.68,-0.9659258262890684,0.2588190451025203,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 20:00:00,1881.1,-0.8660254037844386,0.5000000000000001,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
2024-05-11 21:00:00,1828.4,-0.7071067811865477,0.7071067811865474,11,98.027609375,90.6461961722488,2.454243761996161,83.14148007590134
